date,review_roaster,coffee,rating,link,Roaster Location:,Coffee Origin:,Roast Level:,Agtron:,Est. Price:,Review Date:,Aroma:,Body:,Flavor:,Aftertaste:,With Milk:,Acidity/Structure:,Acidity:
2024-01-04,MK Coffee Roasters,Ethiopia Sidamo Washed,93,https://www.coffeereview.com/review/ethiopia-sidamo-washed-2/,"Taipei, Taiwan","Bombe Village, Bensa District, Sidamo growing region, Ethiopia",Medium-Light,52/87,NT $650/225 grams,August 2022,9,8,9,8,,9,
2024-01-04,Red Rooster Coffee Roaster,Papua New Guinea Baroida Estate Natural,93,https://www.coffeereview.com/review/papua-new-guinea-estate/,"Floyd, Virginia","Eastern Highlands, Papua New Guinea",Medium-Light,55/85,$22.00/12 ounces,August 2022,9,9,9,8,,8,
2024-01-04,St1 Cafe/Work Room,Bean Series Ethiopia Guji Raro,93,https://www.coffeereview.com/review/bean-series-ethiopia-guji-raro/,"Tainan City, Taiwan","Guji Zone, Oromia Region, Ethiopia",Light,63/80,NT $500/200 grams,August 2022,9,8,9,9,,8,
2024-01-04,Speedwell Coffee,El Salvador Monte Verde,92,https://www.coffeereview.com/review/el-salvador-8/,"Plymouth, Massachusetts","Monte Verde, Santa Ana Department, central El Salvador",Medium-Light,62/72,$15.00/12 ounces,August 2022,9,8,9,8,,8,
2024-01-04,Topeca Coffee Roasters,Colombia Laboyano,92,https://www.coffeereview.com/review/colombia-laboyano/,"Tulsa, Oklahoma","Pitalito growing region, Huila Department, Colombia",Medium-Light,56/78,$16.99/12 ounces,August 2022,9,8,9,8,,8,
2024-01-04,JBC Coffee Roasters,Pantan Musara Sumatra,94,https://www.coffeereview.com/review/pantan-musara-sumatra-2/,"Madison, Wisconsin","Aceh Province, Sumatra, Indonesia",Medium-Light,58/76,$21.00/12 ounces,August 2022,9,9,9,8,,9,
2024-01-04,Coffee By Design,Sumatra Takengon Gayo Natural,94,https://www.coffeereview.com/review/sumatra-takengon-gayo-natural/,"Portland, Maine","Aceh Province, Sumatra, Indonesia",Light,62/80,$21.50/16 ounces,August 2022,9,9,9,8,,9,
2024-01-04,Coffee By Design,Ethiopia Djimma Gera Anaerobic,93,https://www.coffeereview.com/review/ethiopia-djimma-gera-anaerobic/,"Portland, Maine","Djimmah, Oromia Region, Ethiopia",Medium-Light,60/78,$24.00/12 ounces,August 2022,9,9,9,8,,8,
2024-01-04,Coffee By Design,Colombia Los Pinos Robeiro Sarmiento,92,https://www.coffeereview.com/review/colombia-los-pinos-robeiro-sarmiento/,"Portland, Maine","Antioquia Department, Colombia",Medium-Light,58/78,$18.50/16 ounces,August 2022,9,8,9,8,,8,
2024-01-04,Peach Coffee Roasters,Vietnam Cau Dat Mercafe Lotus,90,https://www.coffeereview.com/review/vietnam-cau-dat-mercafe-lotus/,"St. Johns, Georgia","Cau Dat, southwest Vietnam",Medium-Light,54/72,$8.00/4 ounces,August 2022,8,8,8,8,,8,
2024-01-04,JBC Coffee Roasters,Nano Genji #7,95,https://www.coffeereview.com/review/nano-genji-7/,"Madison, Wisconsin","Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Medium-Light,58/78,$19.00/12 ounces,July 2022,9,9,9,9,,9,
2024-01-04,Dragonfly Coffee Roasters,Panama Auromar Camilina Geisha Natural,95,https://www.coffeereview.com/review/panama-auromar-camilina-geisha-natural/,"Henderson, Nevada","Piedra Candela, Chiriqui Province, far western Panama",Medium-Light,60/78,$50.00/4 ounces,July 2022,9,9,9,9,,9,
2024-01-04,JBC Coffee Roasters,Tio Conejo Colombia,94,https://www.coffeereview.com/review/tio-conejo-colombia/,"Madison, Wisconsin","Vereda Santa Rita, Manizales, Caldas, Colombia",Medium-Light,58/76,$18.00/8 ounces,July 2022,9,9,9,8,,9,
2024-01-04,Dragonfly Coffee Roasters,Panama Auromar Ironman Geisha Washed Process,94,https://www.coffeereview.com/review/panama-auromar-ironman-geisha-washed-process/,"Henderson, Nevada","Piedra Candela, Chiriqui Province, far western Panama",Medium-Light,60/78,$50.00/4 ounces,July 2022,9,9,9,8,,9,
2024-01-04,JBC Coffee Roasters,Cruz Loma,94,https://www.coffeereview.com/review/cruz-loma/,"Madison, Wisconsin","San José de Minas, Pichincha Province, Ecuador",Medium-Light,57/75,$25.00/8 ounces,July 2022,9,9,9,8,,9,
